AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,81,45,44061.3,324,149,130579.5,20190401
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190401
NON-AGENCY CMBS,P&I,160,121,466626.7,14,10,58426.3,20190401
NON-AGENCY CMBS,IO/PO,8,6,37377.5,*,*,*,20190401
AGENCY CMBS,P&I,60,33,162911.7,42,28,110441.8,20190401
AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190401
AGENCY CMBS,ABS,291,209,481721.3,131,30,63373.2,20190401
CBO/CDO/CLO,CBO/CDO/CLO,55,32,163048,38,17,115478.8,20190401
OTHER,OTHER,*,*,*,*,*,*,20190401
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,88,53,275097.9,327,160,264561.2,20190402
NON-AGENCY CMO,IO/PO,0,0,0,10,7,6741.5,20190402
NON-AGENCY CMBS,P&I,198,142,604980.1,35,22,204558.1,20190402
NON-AGENCY CMBS,IO/PO,28,17,1550297.8,5,3,35935.8,20190402
AGENCY CMBS,P&I,60,34,170881.6,101,55,353609.7,20190402
AGENCY CMBS,IO/PO,*,*,*,0,0,0,20190402
AGENCY CMBS,ABS,408,253,1238276.1,112,61,111305,20190402
CBO/CDO/CLO,CBO/CDO/CLO,70,45,342199.5,34,22,86614.7,20190402
OTHER,OTHER,0,0,0,0,0,0,20190402
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,97,43,179099.3,292,148,245025.7,20190403
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,20190403
NON-AGENCY CMBS,P&I,168,114,666219,104,27,191002.5,20190403
NON-AGENCY CMBS,IO/PO,7,5,339372.5,*,*,*,20190403
AGENCY CMBS,P&I,52,33,44972.2,95,57,387929,20190403
AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190403
AGENCY CMBS,ABS,360,250,1129890.5,63,42,177003,20190403
CBO/CDO/CLO,CBO/CDO/CLO,80,55,316736.6,28,18,108029,20190403
OTHER,OTHER,*,*,*,0,0,0,20190403
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,66,43,135985.6,284,136,260727,20190404
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190404
NON-AGENCY CMBS,P&I,165,114,659767.3,39,25,114669.5,20190404
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190404
AGENCY CMBS,P&I,83,38,484103.2,66,35,273404.9,20190404
AGENCY CMBS,IO/PO,*,*,*,17,4,1511105.7,20190404
AGENCY CMBS,ABS,361,229,780613.1,56,38,200254.7,20190404
CBO/CDO/CLO,CBO/CDO/CLO,101,77,444522.7,67,32,179671.8,20190404
OTHER,OTHER,0,0,0,0,0,0,20190404
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,42,28,240534.5,241,130,386203.1,20190405
NON-AGENCY CMO,IO/PO,0,0,0,5,4,55271.9,20190405
NON-AGENCY CMBS,P&I,197,123,388907.2,24,17,128400.5,20190405
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190405
AGENCY CMBS,P&I,50,27,116304.5,75,44,226999.5,20190405
AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190405
AGENCY CMBS,ABS,265,184,546046.9,29,21,58934.5,20190405
CBO/CDO/CLO,CBO/CDO/CLO,105,67,432337.4,25,19,146227.1,20190405
OTHER,OTHER,0,0,0,0,0,0,20190405
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,38,23,69785,276,129,167877.8,20190408
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190408
NON-AGENCY CMBS,P&I,143,105,280569.7,10,6,12995.5,20190408
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190408
AGENCY CMBS,P&I,32,25,57606,61,36,215760.6,20190408
AGENCY CMBS,IO/PO,0,0,0,5,3,870490.9,20190408
AGENCY CMBS,ABS,285,209,449927.7,37,28,102850.3,20190408
CBO/CDO/CLO,CBO/CDO/CLO,36,29,93390.5,9,7,99860.7,20190408
OTHER,OTHER,0,0,0,*,*,*,20190408
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,110,48,159215.4,512,317,374394.3,20190409
NON-AGENCY CMO,IO/PO,0,0,0,10,5,116471,20190409
NON-AGENCY CMBS,P&I,130,91,459813.1,68,27,223321.2,20190409
NON-AGENCY CMBS,IO/PO,0,0,0,*,*,*,20190409
AGENCY CMBS,P&I,50,33,91110.3,107,54,524161.9,20190409
AGENCY CMBS,IO/PO,0,0,0,*,*,*,20190409
AGENCY CMBS,ABS,318,221,578738.9,46,31,268437.9,20190409
CBO/CDO/CLO,CBO/CDO/CLO,49,35,105776.3,45,28,246980.7,20190409
OTHER,OTHER,0,0,0,0,0,0,20190409
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,99,50,312941.3,362,171,402416.6,20190410
NON-AGENCY CMO,IO/PO,*,*,*,5,3,39842.7,20190410
NON-AGENCY CMBS,P&I,140,109,384769.6,63,33,321261.5,20190410
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190410
AGENCY CMBS,P&I,53,28,77323.3,87,46,397798.8,20190410
AGENCY CMBS,IO/PO,*,*,*,30,13,1362367.6,20190410
AGENCY CMBS,ABS,359,250,821766.7,35,30,124736,20190410
CBO/CDO/CLO,CBO/CDO/CLO,109,77,668335.9,18,13,149550,20190410
OTHER,OTHER,0,0,0,*,*,*,20190410
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,63,34,57368.4,466,232,605301,20190411
NON-AGENCY CMO,IO/PO,0,0,0,5,3,33904.2,20190411
NON-AGENCY CMBS,P&I,153,111,457696.5,32,21,112423.6,20190411
NON-AGENCY CMBS,IO/PO,11,8,197679.9,*,*,*,20190411
AGENCY CMBS,P&I,62,41,140409.7,83,44,486721.6,20190411
AGENCY CMBS,IO/PO,0,0,0,12,7,724707.8,20190411
AGENCY CMBS,ABS,363,239,1105712.9,17,13,67225.4,20190411
CBO/CDO/CLO,CBO/CDO/CLO,67,40,299298.4,29,14,59135.1,20190411
OTHER,OTHER,0,0,0,*,*,*,20190411
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,64,40,49819.5,306,137,128610.2,20190412
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,20190412
NON-AGENCY CMBS,P&I,101,83,283310.6,34,19,95999.5,20190412
NON-AGENCY CMBS,IO/PO,13,10,119141.7,*,*,*,20190412
AGENCY CMBS,P&I,46,27,84223,47,30,435577.8,20190412
AGENCY CMBS,IO/PO,0,0,0,23,7,1869365.5,20190412
AGENCY CMBS,ABS,257,173,511498.8,37,27,122469.2,20190412
CBO/CDO/CLO,CBO/CDO/CLO,75,45,331433.2,39,26,275024.8,20190412
